graph,coef,lb95,ub95,interaction,interactionss,ene,avg,iden1,iden2,iden3,policy_1,policy_2,order_1,order_2
inflow_businesses#local_alcohol,.1609266,-.0470499,.3689032,1,0,84484,1.189361,covid_1,public places,m5,inflow_businesses,local_alcohol,12,1
inflow_businesses,-.3353009,-.7253174999999999,.0547158,0,0,84484,1.189361,covid_1,businesses,m5,inflow_businesses,,12,
inflow_checkpoints#local_checkpoints,-1.07058,-1.990097,-.1510633,1,1,84484,1.189361,covid_1,mobility,m5,inflow_checkpoints,local_checkpoints,13,3
inflow_checkpoints#local_checkpoints,-1.105464,-2.046062,-.164866,1,1,84484,1.189361,covid_1,businesses,m5,inflow_checkpoints,local_checkpoints,13,3
inflow_checkpoints#local_checkpoints,-1.072081,-1.985346,-.1588161,1,1,84484,1.189361,covid_1,curfew,m5,inflow_checkpoints,local_checkpoints,13,3
inflow_checkpoints#local_checkpoints,-1.094896,-2.033076,-.1567168,1,1,84484,1.189361,covid_1,masks,m5,inflow_checkpoints,local_checkpoints,13,3
inflow_checkpoints#local_checkpoints,-1.077362,-1.981527,-.1731969,1,1,84484,1.189361,covid_1,alcohol,m5,inflow_checkpoints,local_checkpoints,13,3
inflow_checkpoints#local_checkpoints,-1.073846,-2.012805,-.1348883,1,1,84484,1.189361,covid_1,fines,m5,inflow_checkpoints,local_checkpoints,13,3
inflow_checkpoints#local_checkpoints,-1.074471,-1.99979,-.1491526,1,1,84484,1.189361,covid_1,public places,m5,inflow_checkpoints,local_checkpoints,13,3
inflow_checkpoints#local_checkpoints,-1.072172,-1.985756,-.1585891,1,1,84484,1.189361,covid_1,checkpoints,m5,inflow_checkpoints,local_checkpoints,13,3
inflow_checkpoints#local_checkpoints,-1.07832,-1.998135,-.1585051,1,1,84484,1.189361,covid_1,events,m5,inflow_checkpoints,local_checkpoints,13,3
inflow_checkpoints#local_fines,-.0988411,-.2246712,.026989,1,0,84484,1.189361,covid_1,mobility,m5,inflow_checkpoints,local_fines,13,6
inflow_checkpoints#local_fines,-.1001489,-.2287885,.0284906,1,0,84484,1.189361,covid_1,masks,m5,inflow_checkpoints,local_fines,13,6
inflow_checkpoints#local_fines,-.0997659,-.2345825,.0350506,1,0,84484,1.189361,covid_1,alcohol,m5,inflow_checkpoints,local_fines,13,6
inflow_checkpoints#local_fines,-.097736,-.2296578,.0341858,1,0,84484,1.189361,covid_1,public places,m5,inflow_checkpoints,local_fines,13,6
inflow_checkpoints#local_fines,-.0819635,-.2065996,.0426726,1,0,84484,1.189361,covid_1,businesses,m5,inflow_checkpoints,local_fines,13,6
inflow_checkpoints#local_fines,-.0947165,-.22721,.037777,1,0,84484,1.189361,covid_1,curfew,m5,inflow_checkpoints,local_fines,13,6
inflow_checkpoints#local_fines,-.0984359,-.2312795,.0344076,1,0,84484,1.189361,covid_1,checkpoints,m5,inflow_checkpoints,local_fines,13,6
inflow_checkpoints#local_fines,-.0981051,-.2327018,.0364916,1,0,84484,1.189361,covid_1,events,m5,inflow_checkpoints,local_fines,13,6
inflow_checkpoints,.7606125,.0727086,1.448516,0,1,84484,1.189361,covid_1,mobility,m5,inflow_checkpoints,,13,
inflow_checkpoints,.9340565,.1187011,1.749412,0,1,84484,1.189361,covid_1,businesses,m5,inflow_checkpoints,,13,
inflow_checkpoints,.7654689,.0104294,1.520508,0,1,84484,1.189361,covid_1,fines,m5,inflow_checkpoints,,13,
inflow_checkpoints,.9958628,.0814266,1.910299,0,1,84484,1.189361,covid_1,events,m5,inflow_checkpoints,,13,
inflow_checkpoints,.7599051999999999,.102126,1.417684,0,1,84484,1.189361,covid_1,checkpoints,m5,inflow_checkpoints,,13,
inflow_checkpoints,.7557426,.0981472,1.413338,0,1,84484,1.189361,covid_1,curfew,m5,inflow_checkpoints,,13,
inflow_checkpoints,.8796908,.1450195,1.614362,0,1,84484,1.189361,covid_1,alcohol,m5,inflow_checkpoints,,13,
inflow_checkpoints,.7778344,.0335888,1.52208,0,1,84484,1.189361,covid_1,public places,m5,inflow_checkpoints,,13,
inflow_checkpoints,.7926473000000001,.0876352,1.497659,0,1,84484,1.189361,covid_1,masks,m5,inflow_checkpoints,,13,
inflow_curfew#local_businesses,.2133515,.009407,.4172959,1,1,84484,1.189361,covid_1,masks,m5,inflow_curfew,local_businesses,14,2
inflow_curfew#local_businesses,.2137726,.01028,.4172653,1,1,84484,1.189361,covid_1,checkpoints,m5,inflow_curfew,local_businesses,14,2
inflow_curfew#local_businesses,.2089433,.002867,.4150196,1,1,84484,1.189361,covid_1,curfew,m5,inflow_curfew,local_businesses,14,2
inflow_curfew#local_businesses,.2138759,.0103614,.4173903,1,1,84484,1.189361,covid_1,public places,m5,inflow_curfew,local_businesses,14,2
inflow_curfew#local_businesses,.2135877,.0094983,.417677,1,1,84484,1.189361,covid_1,mobility,m5,inflow_curfew,local_businesses,14,2
inflow_curfew#local_businesses,.2184594,.0193059,.417613,1,1,84484,1.189361,covid_1,alcohol,m5,inflow_curfew,local_businesses,14,2
inflow_curfew#local_businesses,.2136929,.0098295,.4175562,1,1,84484,1.189361,covid_1,fines,m5,inflow_curfew,local_businesses,14,2
inflow_curfew#local_businesses,.2195102,.0167301,.4222904,1,1,84484,1.189361,covid_1,events,m5,inflow_curfew,local_businesses,14,2
inflow_curfew,.0897663,-.1200707,.2996033,0,0,84484,1.189361,covid_1,mobility,m5,inflow_curfew,,14,
inflow_curfew,.0888503,-.1217463,.2994469,0,0,84484,1.189361,covid_1,fines,m5,inflow_curfew,,14,
inflow_curfew,.1055018,-.1110651,.3220686,0,0,84484,1.189361,covid_1,alcohol,m5,inflow_curfew,,14,
inflow_curfew,.0884665,-.1222374,.2991704,0,0,84484,1.189361,covid_1,public places,m5,inflow_curfew,,14,
inflow_curfew,.0936124,-.1190373,.3062621,0,0,84484,1.189361,covid_1,masks,m5,inflow_curfew,,14,
inflow_curfew,.0886757,-.1217026,.299054,0,0,84484,1.189361,covid_1,checkpoints,m5,inflow_curfew,,14,
inflow_curfew,.0928266,-.1216871,.3073404,0,0,84484,1.189361,covid_1,businesses,m5,inflow_curfew,,14,
inflow_curfew,.1221833,-.1046773,.3490439,0,0,84484,1.189361,covid_1,curfew,m5,inflow_curfew,,14,
inflow_curfew,.094154,-.1205704,.3088784,0,0,84484,1.189361,covid_1,events,m5,inflow_curfew,,14,
inflow_events#local_curfew,.0695348,-.2109956,.3500653,1,0,84484,1.189361,covid_1,events,m5,inflow_events,local_curfew,15,4
inflow_events#local_curfew,.1141173,-.1721411,.4003757,1,0,84484,1.189361,covid_1,fines,m5,inflow_events,local_curfew,15,4
inflow_events#local_curfew,.0859111,-.1955641,.3673863,1,0,84484,1.189361,covid_1,businesses,m5,inflow_events,local_curfew,15,4
inflow_events#local_curfew,.1142036,-.1727698,.4011771,1,0,84484,1.189361,covid_1,checkpoints,m5,inflow_events,local_curfew,15,4
inflow_events#local_curfew,.11415,-.1730692,.4013692,1,0,84484,1.189361,covid_1,masks,m5,inflow_events,local_curfew,15,4
inflow_events#local_curfew,.1116023,-.1773619,.4005665,1,0,84484,1.189361,covid_1,public places,m5,inflow_events,local_curfew,15,4
inflow_events#local_curfew,.1139374,-.1724501,.400325,1,0,84484,1.189361,covid_1,mobility,m5,inflow_events,local_curfew,15,4
inflow_events#local_curfew,.0739378,-.219147,.3670226,1,0,84484,1.189361,covid_1,alcohol,m5,inflow_events,local_curfew,15,4
inflow_events,-.4227935,-.9511003,.1055133,0,0,84484,1.189361,covid_1,events,m5,inflow_events,,15,
inflow_fines#local_curfew,.0308327,-.2082185,.2698839,1,0,84484,1.189361,covid_1,events,m5,inflow_fines,local_curfew,16,4
inflow_fines#local_curfew,.0172701,-.2233219,.257862,1,0,84484,1.189361,covid_1,public places,m5,inflow_fines,local_curfew,16,4
inflow_fines#local_curfew,.0218214,-.2168785,.2605213,1,0,84484,1.189361,covid_1,alcohol,m5,inflow_fines,local_curfew,16,4
inflow_fines#local_curfew,.0161657,-.2237208,.2560522,1,0,84484,1.189361,covid_1,checkpoints,m5,inflow_fines,local_curfew,16,4
inflow_fines#local_curfew,.0168209,-.2236008,.2572425,1,0,84484,1.189361,covid_1,mobility,m5,inflow_fines,local_curfew,16,4
inflow_fines#local_curfew,.021231,-.2232558,.2657178,1,0,84484,1.189361,covid_1,masks,m5,inflow_fines,local_curfew,16,4
inflow_fines#local_curfew,.0216887,-.2147115,.2580889,1,0,84484,1.189361,covid_1,businesses,m5,inflow_fines,local_curfew,16,4
inflow_fines#local_curfew,.016058,-.2246218,.2567378,1,0,84484,1.189361,covid_1,fines,m5,inflow_fines,local_curfew,16,4
inflow_fines#local_masks,-.2181403,-.4433037,.0070232,1,0,84484,1.189361,covid_1,checkpoints,m5,inflow_fines,local_masks,16,7
inflow_fines#local_masks,-.2153162,-.4417964,.0111639,1,0,84484,1.189361,covid_1,mobility,m5,inflow_fines,local_masks,16,7
inflow_fines#local_masks,-.2095998,-.4369509,.0177512,1,0,84484,1.189361,covid_1,events,m5,inflow_fines,local_masks,16,7
inflow_fines#local_masks,-.2070818,-.4368703,.0227066,1,0,84484,1.189361,covid_1,alcohol,m5,inflow_fines,local_masks,16,7
inflow_fines#local_masks,-.2170812,-.442213,.0080507,1,0,84484,1.189361,covid_1,public places,m5,inflow_fines,local_masks,16,7
inflow_fines#local_masks,-.2185802,-.4402168,.0030564,1,0,84484,1.189361,covid_1,fines,m5,inflow_fines,local_masks,16,7
inflow_fines#local_masks,-.2353822,-.4594316,-.0113328,1,1,84484,1.189361,covid_1,businesses,m5,inflow_fines,local_masks,16,7
inflow_fines#local_masks,-.2222282,-.4490729,.0046164,1,0,84484,1.189361,covid_1,curfew,m5,inflow_fines,local_masks,16,7
inflow_fines,-.0094102,-.3984652,.3796449,0,0,84484,1.189361,covid_1,fines,m5,inflow_fines,,16,
