parameter,newspaper,title,date,date_policy,search_,type_newspaper
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=491471, Los funerales también cambiaron su dinámica, 2020-03-30T00:49:33,,                          heraldo.mx-?p=491471, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=490784, Cápsulas 27 de marzo, 2020-03-27T07:25:38,,                          heraldo.mx-?p=490784, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=490772, Comprometen estabilidad de precios, 2020-03-27T07:00:56,,                          heraldo.mx-?p=490772, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=490650, Cápsulas 26 de Marzo, 2020-03-26T01:18:23,,                          heraldo.mx-?p=490650, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=489598, Escalpelo 21 de Marzo, 2020-03-21T01:08:59,,                          heraldo.mx-?p=489598, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=489351, Protestan en el ISSSTE; reclaman prevención, 2020-03-20T07:41:55,,                          heraldo.mx-?p=489351, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=489028, Escalpelo 18 de Marzo, 2020-03-18T01:20:39,,                          heraldo.mx-?p=489028, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=488550, Improvisan estados atención a Covid-19, 2020-03-16T08:15:31,,                          heraldo.mx-?p=488550, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=488520, Escalan acciones contra Covid-19, 2020-03-15T11:06:47,,1, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=488319, No entrar en pánico pide el ISSSTE, 2020-03-14T09:35:48,,                          heraldo.mx-?p=488319, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=487991, Nerviosismo, 2020-03-13T07:42:31,,                          heraldo.mx-?p=487991, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=487796, Están infectados, 2020-03-12T00:18:10,,                          heraldo.mx-?p=487796, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=487202, La casa gana, 2020-03-09T00:41:57,,                          heraldo.mx-?p=487202, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=486849, Alistan compra de insumos por Covid-19, 2020-03-07T09:20:59,,                          heraldo.mx-?p=486849, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=486812, Si tiene cita vaya tranquilo, 2020-03-07T00:47:08,,                          heraldo.mx-?p=486812, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=486571, Confían en que sí habrá verbena, 2020-03-06T06:56:36,,                          heraldo.mx-?p=486571, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=486042, Capacitación a custodios, 2020-03-03T00:43:15,,                          heraldo.mx-?p=486042, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=484960, Ve IP exceso de confianza ante coronavirus, 2020-02-26T17:55:06,,                          heraldo.mx-?p=484960, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=480028, Suspende Uber 240 cuentas por supuesto coronavirus, 2020-02-01T17:03:04,,                          heraldo.mx-?p=480028, wordpress
protocolo seguridad coronavirus, http://www.heraldo.mx/?p=478826, Escalpelo 26 de Enero, 2020-01-26T01:03:40,,                          heraldo.mx-?p=478826, wordpress
