,parameter,newspaper,title,date,date_policy,search_,type_newspaper
99,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420700, Gran Bretaña cierra estaciones de Metro y alista a su Ejército, 2020-03-19T09:59:09,,                          lajornadasanluis.com.mx-?p=420700, wordpress
100,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420662, Secult reagendará actividades en atención a medidas preventivas por Covid-19, 2020-03-18T22:47:47,,                          lajornadasanluis.com.mx-?p=420662, wordpress
101,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420603, Se aplican en planteles medidas de prevención: SEGE, 2020-03-18T17:28:40,,                          lajornadasanluis.com.mx-?p=420603, wordpress
102,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420584, Europa ya supera en número de muertos a Asia por Covid-19, 2020-03-18T16:35:24,,                          lajornadasanluis.com.mx-?p=420584, wordpress
103,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420544, Cierra Israel las fronteras a todos los extranjeros para combatir al Covid-19, 2020-03-18T13:16:16,,                          lajornadasanluis.com.mx-?p=420544, wordpress
104,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420468, Cierra Turquía fronteras con Grecia y Bulgaria, 2020-03-18T10:18:51,,                          lajornadasanluis.com.mx-?p=420468, wordpress
105,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420303, Confirman tres nuevos casos de Covid-19 en Edomex, 2020-03-17T14:36:45,,                          lajornadasanluis.com.mx-?p=420303, wordpress
106,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420152, Cierran comercios escuelas teatros y cines en grandes ciudades de EU, 2020-03-16T12:33:54,,                          lajornadasanluis.com.mx-?p=420152, wordpress
107,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420140, Nuevo León reporta siete nuevos casos de Covid-19, 2020-03-16T12:05:00,,                          lajornadasanluis.com.mx-?p=420140, wordpress
108,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420106, Acciones de periodistas contra la otra epidemia, 2020-03-16T06:30:38,,                          lajornadasanluis.com.mx-?p=420106, wordpress
109,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420097, Filipinas extrema medidas para contener coronavirus, 2020-03-15T18:07:45,,                          lajornadasanluis.com.mx-?p=420097, wordpress
110,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420089, Se elevan a 35 los casos confirmados de coronavirus en Costa Rica, 2020-03-15T17:20:54,,                          lajornadasanluis.com.mx-?p=420089, wordpress
111,escuelas coronavirus, https://lajornadasanluis.com.mx/ultimas-publicaciones/maduro-pone-en-cuarentena-caracas-y-otros-6-estados-por-el-coronavirus-2/, Maduro pone en cuarentena Caracas y otros 6 estados por el coronavirus, 2020-03-15T16:36:49,,                          lajornadasanluis.com.mx-ultimas-publicaciones-maduro-pone-en-cuarentena-caracas-y-otros-6-estados-por-el-coronavirus-2-, wordpress
112,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420079, Maduro pone en cuarentena Caracas y otros 6 estados por el coronavirus, 2020-03-15T16:36:49,,                          lajornadasanluis.com.mx-?p=420079, wordpress
113,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420067, Chile suspende clases y cierra sus puertos a cruceros, 2020-03-15T15:37:22,,                          lajornadasanluis.com.mx-?p=420067, wordpress
114,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420050, Por Covid-19 se amplía receso de Semana Santa: SEGE, 2020-03-15T14:30:12,,1, wordpress
115,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=420023, Suspende Perú llegada de cruceros a sus puertos por el Covid-19, 2020-03-15T11:28:38,,                          lajornadasanluis.com.mx-?p=420023, wordpress
116,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419989, España: 100 muertos y más de 2 mil infectados con Covid-19 en 24 horas, 2020-03-15T08:30:19,,                          lajornadasanluis.com.mx-?p=419989, wordpress
117,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419947, Votaciones primarias en Georgia se aplazan por Covid-19, 2020-03-14T19:35:37,,                          lajornadasanluis.com.mx-?p=419947, wordpress
118,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419694, Confirma Venezuela sus dos primeros casos de Covid-19; suspende clases, 2020-03-13T10:07:03,,                          lajornadasanluis.com.mx-?p=419694, wordpress
119,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419677, Se enclaustra Europa para contener al brote de coronavirus, 2020-03-13T09:21:52,,                          lajornadasanluis.com.mx-?p=419677, wordpress
120,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419669, Por ahora no es conveniente cerrar escuelas y comercios: López-Gatell, 2020-03-13T09:11:39,,1, wordpress
