Municipio,estado,Date,Diagnósticos,Semáforo
Mapastepec,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Las Margaritas,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Mazapa de Madero,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Mazatán,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Metapa,Chiapas,13-May,0,"Indicador Verde porque es un municipio sin casos de Covid y sus vecinos también están libres de contagios, según los datos revisados por Aristegui Noticias"
Mitontic,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Motozintla,Chiapas,13-May,3,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Nicolás Ruíz,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Ocosingo,Chiapas,13-May,9,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Ocotepec,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Ocozocoautla de Espinosa,Chiapas,13-May,4,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Ostuacán,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Osumacinta,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Oxchuc,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Palenque,Chiapas,13-May,28,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Pantelhó,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Pantepec,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Pichucalco,Chiapas,13-May,4,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Pijijiapan,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
El Porvenir,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Villa Comaltitlán,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Pueblo Nuevo Solistahuacán,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Rayón,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Reforma,Chiapas,13-May,17,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Las Rosas,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Sabanilla,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Salto de Agua,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
San Cristóbal de las Casas,Chiapas,13-May,40,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
San Fernando,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Siltepec,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Simojovel,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Sitalá,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Socoltenango,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Solosuchiapa,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Soyaló,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Suchiapa,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Suchiate,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Sunuapa,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Tapachula,Chiapas,13-May,50,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Tapalapa,Chiapas,13-May,0,"Indicador Verde porque es un municipio sin casos de Covid y sus vecinos también están libres de contagios, según los datos revisados por Aristegui Noticias"
Tapilula,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Tecpatán,Chiapas,13-May,3,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Tenejapa,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Teopisca,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Tila,Chiapas,13-May,2,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Tonalá,Chiapas,13-May,22,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Totolapa,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
La Trinitaria,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Tumbalá,Chiapas,13-May,7,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Tuxtla Gutiérrez,Chiapas,13-May,141,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Tuxtla Chico,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Tuzantán,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Tzimol,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Unión Juárez,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
Venustiano Carranza,Chiapas,13-May,10,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Villa Corzo,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Villaflores,Chiapas,13-May,7,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Yajalón,Chiapas,13-May,7,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
San Lucas,Chiapas,13-May,1,"Indicador Rojo porque es un municipio con casos de Covid, según los datos revisados por Aristegui Noticias"
Zinacantán,Chiapas,13-May,0,"Indicador Amarillo porque es un municipio sin casos de Covid, pero alguno de sus vecinos sí tiene contagios, según los datos revisados por Aristegui Noticias"
